#reverse_pos	count	cdf
787	9	0.823522
788	14	0.823588
789	12	0.823644
790	8	0.823682
791	9	0.823725
792	9	0.823767
793	10	0.823815
794	10	0.823862
795	29	0.823999
796	23	0.824108
797	36	0.824278
798	30	0.824419
799	25	0.824538
800	25	0.824656
801	25	0.824774
802	16	0.824849
803	38	0.825029
804	36	0.825199
805	30	0.825341
806	26	0.825464
807	25	0.825582
808	23	0.825691
809	12	0.825747
810	11	0.825799
811	18	0.825884
812	11	0.825936
813	12	0.825993
814	16	0.826069
815	4	0.826088
816	9	0.82613
817	9	0.826173
818	14	0.826239
819	6	0.826267
820	13	0.826329
821	15	0.826399
822	11	0.826451
823	12	0.826508
824	24	0.826622
825	17	0.826702
826	8	0.82674
827	8	0.826777
828	13	0.826839
829	9	0.826881
830	8	0.826919
831	7	0.826952
832	11	0.827004
833	19	0.827094
834	13	0.827156
835	16	0.827231
836	7	0.827264
837	11	0.827316
838	11	0.827368
839	6	0.827397
840	11	0.827449
841	11	0.8275
842	9	0.827543
843	13	0.827604
844	11	0.827656
845	5	0.82768
846	10	0.827727
847	7	0.82776
848	9	0.827803
849	2	0.827812
850	12	0.827869
851	14	0.827935
852	6	0.827964
853	9	0.828006
854	7	0.828039
855	10	0.828086
856	10	0.828134
857	6	0.828162
858	10	0.828209
859	10	0.828257
860	11	0.828309
861	10	0.828356
862	7	0.828389
863	8	0.828427
864	7	0.82846
865	12	0.828516
866	7	0.82855
867	11	0.828602
868	10	0.828649
869	11	0.828701
870	11	0.828753
871	8	0.828791
872	14	0.828857
873	11	0.828909
874	11	0.828961
875	7	0.828994
876	9	0.829036
877	11	0.829088
878	11	0.82914
879	10	0.829187
880	17	0.829268
881	26	0.829391
882	60	0.829674
883	111	0.830199
884	76	0.830558
885	5	0.830582
886	6	0.83061
887	8	0.830648
888	7	0.830681
889	11	0.830733
890	10	0.83078
891	12	0.830837
892	10	0.830884
893	13	0.830945
894	8	0.830983
895	9	0.831026
896	17	0.831106
897	15	0.831177
898	13	0.831238
899	12	0.831295
900	8	0.831333
901	10	0.83138
902	7	0.831413
903	7	0.831446
904	3	0.83146
905	9	0.831503
906	8	0.831541
907	10	0.831588
908	7	0.831621
909	12	0.831678
910	6	0.831706
911	10	0.831753
912	8	0.831791
913	10	0.831839
914	10	0.831886
915	19	0.831976
916	6	0.832004
917	10	0.832051
918	12	0.832108
919	2	0.832117
920	7	0.83215
921	8	0.832188
922	9	0.832231
923	9	0.832273
924	9	0.832316
925	8	0.832354
926	11	0.832406
927	14	0.832472
928	11	0.832524
929	13	0.832585
930	10	0.832632
931	8	0.83267
932	12	0.832727
933	9	0.832769
934	9	0.832812
935	7	0.832845
936	11	0.832897
937	10	0.832944
938	10	0.832992
939	16	0.833067
940	12	0.833124
941	9	0.833166
942	16	0.833242
943	25	0.83336
944	48	0.833587
945	61	0.833875
946	14	0.833941
947	28	0.834074
948	48	0.8343
949	129	0.83491
