#distance	count	cdf
1302	3	0.774146
1303	8	0.774192
1304	12	0.774262
1305	8	0.774308
1306	16	0.774401
1307	4	0.774424
1308	7	0.774465
1309	4	0.774488
1310	5	0.774517
1311	4	0.77454
1312	6	0.774575
1313	7	0.774616
1314	8	0.774662
1315	9	0.774714
1316	10	0.774772
1317	7	0.774813
1318	7	0.774854
1319	6	0.774888
1320	5	0.774917
1321	9	0.77497
1322	6	0.775004
1323	12	0.775074
1324	8	0.775121
1325	3	0.775138
1326	5	0.775167
1327	7	0.775208
1328	8	0.775254
1329	12	0.775324
1330	10	0.775382
1331	3	0.775399
1332	6	0.775434
1333	7	0.775474
1334	9	0.775527
1335	8	0.775573
1336	10	0.775631
1337	6	0.775666
1338	4	0.775689
1339	5	0.775718
1340	4	0.775741
1341	5	0.77577
1342	5	0.775799
1343	5	0.775828
1344	5	0.775857
1345	7	0.775898
1346	2	0.77591
1347	6	0.775944
1348	2	0.775956
1349	9	0.776008
1350	10	0.776066
1351	4	0.776089
1352	1	0.776095
1353	2	0.776107
1354	4	0.77613
1355	7	0.776171
1356	2	0.776182
1357	7	0.776223
1358	7	0.776263
1359	7	0.776304
1360	10	0.776362
1361	3	0.77638
1362	2	0.776391
1363	6	0.776426
1364	6	0.776461
1365	6	0.776496
1366	8	0.776542
1367	6	0.776577
1368	8	0.776623
1369	8	0.77667
1370	5	0.776699
1371	10	0.776757
1372	5	0.776786
1373	5	0.776815
1374	8	0.776861
1375	5	0.77689
1376	5	0.776919
1377	7	0.77696
1378	4	0.776983
1379	6	0.777018
1380	6	0.777053
1381	6	0.777087
1382	7	0.777128
1383	6	0.777163
1384	8	0.777209
1385	8	0.777256
1386	3	0.777273
1387	8	0.777319
1388	11	0.777383
1389	7	0.777424
1390	10	0.777482
1391	7	0.777522
1392	2	0.777534
1393	7	0.777575
1394	7	0.777615
1395	6	0.77765
1396	5	0.777679
1397	5	0.777708
1398	3	0.777726
1399	8	0.777772
1400	7	0.777813
1401	6	0.777847
1402	2	0.777859
1403	8	0.777905
1404	10	0.777963
1405	9	0.778016
1406	5	0.778045
1407	4	0.778068
1408	6	0.778103
1409	10	0.778161
1410	6	0.778196
1411	7	0.778236
1412	5	0.778265
1413	12	0.778335
1414	7	0.778375
1415	4	0.778399
1416	4	0.778422
1417	8	0.778468
1418	11	0.778532
1419	8	0.778578
1420	4	0.778602
1421	10	0.77866
1422	8	0.778706
1423	6	0.778741
1424	5	0.77877
1425	7	0.778811
1426	3	0.778828
1427	11	0.778892
1428	7	0.778932
1429	10	0.77899
1430	9	0.779043
1431	6	0.779077
1432	4	0.779101
1433	8	0.779147
1434	4	0.77917
1435	7	0.779211
1436	6	0.779246
1437	5	0.779275
1438	3	0.779292
1439	9	0.779344
1440	2	0.779356
1441	7	0.779396
1442	5	0.779426
1443	7	0.779466
1444	3	0.779484
1445	6	0.779518
1446	6	0.779553
1448	7	0.779594
1449	7	0.779634
1450	10	0.779692
1451	6	0.779727
1452	4	0.77975
1453	6	0.779785
1454	6	0.77982
