#distance	count	cdf
347	5	0.0450739
348	6	0.0450828
349	14	0.0451034
350	12	0.045121
351	5	0.0451284
352	21	0.0451593
353	4	0.0451652
354	7	0.0451755
355	3	0.04518
356	10	0.0451947
357	8	0.0452065
358	10	0.0452212
359	2	0.0452241
360	4	0.04523
361	5	0.0452374
362	11	0.0452536
363	4	0.0452595
364	6	0.0452683
365	3	0.0452727
366	9	0.045286
367	3	0.0452904
368	9	0.0453037
369	14	0.0453243
370	9	0.0453375
371	7	0.0453478
372	8	0.0453596
373	5	0.045367
374	8	0.0453788
375	12	0.0453964
376	5	0.0454038
377	7	0.0454141
378	3	0.0454185
379	8	0.0454303
380	5	0.0454377
381	9	0.0454509
382	5	0.0454583
383	5	0.0454657
384	3	0.0454701
385	8	0.0454819
386	4	0.0454877
387	10	0.0455025
388	5	0.0455098
389	9	0.0455231
390	10	0.0455378
391	9	0.0455511
392	6	0.0455599
393	5	0.0455673
394	6	0.0455761
395	7	0.0455864
396	3	0.0455908
397	5	0.0455982
398	5	0.0456056
399	10	0.0456203
400	4	0.0456262
401	5	0.0456335
402	7	0.0456439
403	4	0.0456497
404	6	0.0456586
405	11	0.0456748
406	8	0.0456866
407	3	0.045691
408	11	0.0457072
409	8	0.045719
410	5	0.0457263
411	5	0.0457337
412	7	0.045744
413	11	0.0457602
414	9	0.0457735
415	7	0.0457838
416	12	0.0458014
417	3	0.0458059
418	9	0.0458191
419	6	0.0458279
420	3	0.0458324
421	7	0.0458427
422	10	0.0458574
423	12	0.0458751
424	12	0.0458927
425	16	0.0459163
426	12	0.045934
427	13	0.0459531
428	13	0.0459723
429	4	0.0459782
430	9	0.0459914
431	12	0.0460091
432	5	0.0460165
433	9	0.0460297
434	16	0.0460533
435	7	0.0460636
436	6	0.0460724
437	5	0.0460798
438	9	0.046093
439	8	0.0461048
440	7	0.0461151
441	6	0.046124
442	15	0.0461461
443	10	0.0461608
444	8	0.0461726
445	6	0.0461814
446	13	0.0462005
447	12	0.0462182
448	8	0.04623
449	10	0.0462447
450	9	0.046258
451	10	0.0462727
452	8	0.0462845
453	8	0.0462963
454	8	0.0463081
455	8	0.0463198
456	5	0.0463272
457	6	0.046336
458	5	0.0463434
459	6	0.0463522
460	7	0.0463625
461	17	0.0463876
462	14	0.0464082
463	9	0.0464214
464	7	0.0464318
465	9	0.046445
466	12	0.0464627
467	5	0.04647
468	9	0.0464833
469	4	0.0464892
470	9	0.0465024
471	6	0.0465113
472	7	0.0465216
473	3	0.046526
474	8	0.0465378
475	4	0.0465437
476	7	0.046554
477	8	0.0465658
478	3	0.0465702
479	6	0.046579
480	4	0.0465849
481	4	0.0465908
482	6	0.0465996
483	5	0.046607
484	4	0.0466129
485	4	0.0466188
486	7	0.0466291
487	5	0.0466365
488	9	0.0466497
489	2	0.0466527
490	12	0.0466703
491	8	0.0466821
492	10	0.0466968
493	6	0.0467057
494	3	0.0467101
495	6	0.0467189
496	6	0.0467278
497	7	0.0467381
498	10	0.0467528
499	10	0.0467675
500	6	0.0467764
501	1	0.0467778
502	4	0.0467837
503	2	0.0467867
504	6	0.0467955
505	8	0.0468073
506	4	0.0468132
507	6	0.046822
508	5	0.0468294
509	4	0.0468353
510	3	0.0468397
511	6	0.0468485
512	5	0.0468559
513	2	0.0468588
514	5	0.0468662
515	4	0.0468721
516	1	0.0468736
517	7	0.0468839
518	3	0.0468883
519	3	0.0468927
520	5	0.0469001
521	2	0.046903
522	3	0.0469074
523	6	0.0469163
524	7	0.0469266
525	4	0.0469325
526	7	0.0469428
527	7	0.0469531
528	5	0.0469605
529	6	0.0469693
530	5	0.0469767
531	2	0.0469796
532	4	0.0469855
533	2	0.0469884
534	5	0.0469958
535	5	0.0470032
536	7	0.0470135
537	7	0.0470238
538	5	0.0470312
539	4	0.047037
540	6	0.0470459
541	6	0.0470547
542	5	0.0470621
543	8	0.0470739
544	2	0.0470768
545	10	0.0470915
546	5	0.0470989
547	15	0.047121
548	5	0.0471284
549	2	0.0471313
550	6	0.0471401
551	4	0.047146
552	4	0.0471519
553	5	0.0471593
554	5	0.0471666
555	6	0.0471755
556	5	0.0471828
557	10	0.0471976
558	4	0.0472035
559	5	0.0472108
560	2	0.0472138
561	4	0.0472197
562	2	0.0472226
563	6	0.0472314
564	4	0.0472373
565	5	0.0472447
566	10	0.0472594
567	4	0.0472653
568	7	0.0472756
569	9	0.0472889
570	10	0.0473036
571	8	0.0473154
572	5	0.0473228
573	4	0.0473286
574	10	0.0473434
575	3	0.0473478
576	6	0.0473566
577	5	0.047364
578	6	0.0473728
579	5	0.0473802
580	4	0.0473861
581	4	0.047392
582	7	0.0474023
583	6	0.0474111
584	5	0.0474185
585	1	0.04742
586	6	0.0474288
587	6	0.0474376
588	6	0.0474465
589	5	0.0474538
590	8	0.0474656
591	6	0.0474744
592	1	0.0474759
593	6	0.0474848
594	6	0.0474936
595	2	0.0474965
596	4	0.0475024
597	5	0.0475098
598	9	0.047523
599	8	0.0475348
600	6	0.0475437
601	11	0.0475599
602	7	0.0475702
603	5	0.0475775
604	5	0.0475849
605	2	0.0475878
606	5	0.0475952
607	10	0.0476099
608	5	0.0476173
609	6	0.0476261
610	6	0.047635
611	3	0.0476394
612	4	0.0476453
613	2	0.0476482
614	3	0.0476526
615	4	0.0476585
616	7	0.0476688
617	4	0.0476747
618	6	0.0476836
619	4	0.0476895
620	2	0.0476924
621	6	0.0477012
622	6	0.0477101
623	5	0.0477174
624	3	0.0477219
625	3	0.0477263
626	5	0.0477336
628	3	0.0477381
